SrNo ,PMC_processing_plant_name_and_details_address_with_SrNo_Pno,Operating_agency,Plant_commissioning_date,Plant_Capacity_in_MTD,Actual_operating_capacity_in_MTD,Technology,water_polltion_control_system_details_with_capacity_and_disposal_details,Reject_quanity_MTD,Disposal_Details_with_qty,Auhtorization_granted_date_with_validity_and_copy,Consent_granted_date_with_validity_and_date,StartDate,EndDate,Any_application_submitted_if_any_UAN_No,Bank_Guarantee_details,Court_Case_details,NGT_case_details ,Environemnt_Compenstion_imposed,Environemnt_Compenstion_paid_recovery
15,"New Global Eco Solution,
Sr. No. 57, Kalepdal, Hadapsar",New Global Eco Solution,January 2017,25,25,Material Recover Facility,-,2.5,SLF Devachi Uruli,"MPCB-MSW_AUTH-0000000714
Granted Date: 11/08/2022
Valid up to: 31/07/2027",-,,,"MPCB-CONSENT-0000154609
CTO Appl. Date: 30/11/2022",,,,,
16,"M/s Sairam Engineering Pvt Ltd. 
Sr No. 3-14/2, Mundhwa, Keshavnagar, Pune, Tal. Haveli, Dist. Pune",M/s Sairam Engineering Pvt Ltd.,October 2019,50,50,Material Recover Facility,-3ee6,5,SLF Devachi Uruli,"MPCB-MSW_AUTH-0000000586
Granted Date: 28/06/2022
Valid up to: 31/05/2027","MPCB-CONSENT-0000099354
CTO Granted Date: 22/02/2023
Valid up to: 30/09/2025",,,-,,,,,
17,"ADECO Solutions ADSL LLP, 
100 TPD Mechanized Material Recovery Facility, S. No. 57 Hadapsar, Handewadi, Pune, Tal. Haveli, Dist. Pune",ADECO Solutions ADSL LLP,Yet to be Commissioned,100,-,Material Recover Facility,Soaked in soak pit,-,-,-,"MPCB-CONSENT-0000157489
CTE Granted Date: 24/05/2023
Valid up to 5 years",,,-,,,,,
18,"S.No.51, Ambegaon Kh.",-,Yet to be Commissioned,150,-,Mechanized Material Recover Facility,-,-,-,-,-,,,"MPCB-CONSENT-0000157364
CTO Appl. Date: 27/12/2022",,,,,
19,"Variate Waste to Energy Pvt Ltd., Final Plot No.87, Ramtekdi Industrial Estate, Hadapsar, Pune",Variate Waste to Energy Pvt Ltd.,Yet to be Commissioned,350,-,-,"For cooling and gardening purpose,
Soaked in soak pit",-,-,-,"MPCB-CONSENT-0000153844
CTE Granted Date: 26/12/2022
Valid up to 5 years",,,-,,,,,
20,"Procter & Gamble + Rochem Green Energy Pvt Ltd,
Plot No 86, Lane No 4, Ramtekdi Industrial Area",Procter & Gamble + Rochem Green Energy Pvt Ltd,Yet to be Commissioned,-,-,-ft,-,-,-,-,-,,,"MPCB-CONSENT-0000149987
CTE Appl. Date: 06/10/2022",,,,,
21,"S. No 129/2, Vill Wagholi, Tal Haveli Dist Pune
(C&D)",S A Infra,July 2017,250,220,,,,,,"MPCB-CONSTRUCTION_DEMOLITION-0000000091
CTO Granted Date:22/02/2023
Valid up to: 31/12/2026",,,,,,,,
22,"Bhumi Green Energy,
S. No. 191 To 195 Fursungi,
Uruli-Fursungi Kachra Depot
(Biomining)",Bhumi Green Energy,November 2022,2000,2000,9,,,SLF Devachi Uruli,,-,,,"MPCB-CONSENT-0000157504
CTO Appl. Date: 28/12/2022",,,,,
23,"M/s Aadarsh Bharat Enviro
S. No-191 To 195, Uruli Devachi Fursungi Kachra Depo
(SLF)",M/s Aadarsh Bharat Enviro,July 2021,400,350,Scientific Landfille,,-,-,,-,,,"MPCB-CONSENT-0000157594
CTO Appl. Date: 29/12/2022",,,,,
24,"Mailhem Engg.
S. No. 19A, Near KK Market, Satara Road",Mailhem Engg.,February 2019,5,5,Bio-Methanatione3,-,0.5,SLF Devachi Uruli,"MPCB-MSW_AUTH-0000000738
Granted Date: 11/08/2022
Valid up to: 31/12/2026",-,,,-,,,,,
25,"Mailhem Engg.
S. No. 95, Gut No. K-25/5, Phulenagar, Alandi Road, Pune",Mailhem Engg.,September 2018,5,5,Bio-Methanation,-,0.5,SLF Devachi Uruli,"MPCB-MSW_AUTH-0000000734
Granted Date: 11/08/2022
Valid up to: 31/12/2026",-,,,-,,,,,
26,"Mailhem Engg.
S. No. 22, Near Gokul Nagar, Dhanori, Pune - 411015",Mailhem Engg.,September 2018,5,5,Bio-Methanation,-,0.5,SLF Devachi Uruli,"MPCB-MSW_AUTH-0000000733
Granted Date: 11/08/2022
Valid up to: 31/12/2026",-,,,-,,,,,
27,"Abhay Bio-CNG,
S. No. 191 Maharashtra Housing Board, Yerawada, Pune",Abhay Bio-CNG,April 2022,5,5,Bio-Methanation,-,0.5,SLF Devachi Uruli,"MPCB-MSW_AUTH-0000000732
Granted Date: 11/08/2022
Valid up to: 31/12/2026",-,,,-,,,,,
28,"JK Engineers,
S. No. 50/5, Near SBI, 
Wadgaon Sheri, Pune",JK Engineers,September 2019,5,5,Bio-Methanation,-,0.5,SLF Devachi Uruli,"MPCB-MSW_AUTH-0000000731
Granted Date: 11/08/2022
Valid up to: 31/12/2026",-,,,-,,,,,
29,"JK Engineers,
Near Labour Colony, Yerawada Jail, Yerawada, Pune.",JK Engineers,October 2022,5,5,Bio-Methanation,-,0.5,SLF Devachi Uruli,-,-,,,"MPCB-MSW_AUTH-0000000846
Auth Appl. Date: 19/12/2022",,,,,
30,"Abhay Petro Pump,
Near Katraj Railway Museum,
Katraj, Pune - 411046",Abhay Petro Pump,August 2018,5,5,Bio-Methanation,-,0.5,SLF Devachi Uruli,"MPCB-MSW_AUTH-0000000729
Granted Date: 11/08/2022
Valid up to: 31/12/2026",-,,,-,,,,,
31,"Mailhem Engg.
Near Katraj Dairy, Behind Katraj Ramp and Fire Station, Pune – 46
(K-3 & K-4)",Mailhem Engg.,July 2021,10,10,Bio-Methanation,-,1,SLF Devachi Uruli,"MPCB-MSW_AUTH-0000000727
Granted Date: 11/08/2022
Valid up to: 31/12/2026",-,,,-,,,,,
32,"Adya Environmentals
S. No. 67 & 68, 
Taljai Pathar, Pune - 43",Adya Environmentals,October 2022,10,10,Bio-Methanationgs,-,1,SLF Devachi Uruli,"MPCB-MSW_AUTH-0000000726
Granted Date: 11/08/2022
Valid up to: 31/12/2026",-,,,-,,,,,
